0.25, 5, 4, 0.8523, 0.6966, 5.15746, 4.98005, 5.0483
0.3, 5, 4, 0.7998, 0.6219, 5.24706, 5.00354, 5.0914
0.35, 5, 4, 0.7459, 0.5467, 5.27269, 4.97439, 5.1298
0.4, 5, 4, 0.6785, 0.4671, 5.39749, 5.00064, 5.2391
0.45, 5, 4, 0.6111, 0.3954, 5.4091, 4.95903, 5.3003
0.5, 5, 4, 0.5291, 0.3247, 5.51559, 4.98245, 5.49
0, 5, 5, 1, 1, 6.0109, 6.0109, 6.0109
0.05, 5, 5, 0.9623, 0.9252, 6.01912, 5.97503, 5.9932
0.1, 5, 5, 0.9445, 0.8404, 6.04987, 5.97001, 6.0051
0.15, 5, 5, 0.9255, 0.7605, 6.06018, 5.93018, 5.9883
0.2, 5, 5, 0.8958, 0.6787, 6.11967, 5.91145, 6.0156
0.25, 5, 5, 0.8562, 0.6034, 6.19797, 5.92476, 6.0357
0.3, 5, 5, 0.7971, 0.5245, 6.31815, 5.93727, 6.113
0.35, 5, 5, 0.7453, 0.4416, 6.42225, 5.93976, 6.1692
0.4, 5, 5, 0.6727, 0.3583, 6.48209, 5.8998, 6.2239
0.45, 5, 5, 0.5926, 0.2945, 6.61947, 5.84177, 6.3312
0.5, 5, 5, 0.4971, 0.2269, 6.81553, 5.8387, 6.5205
